Unnamed: 0,lemma_1,lemma_2,year,genre,source,text,clean_text,sentence_key
70,outside,power,2014,ACAD,MiddleEastQ,"? Unless he shows a hitherto-unseen competence, 14 his chances are slim. # Outside powers can help by cooperating with Sisi on immediate concerns--arms, counterterrorism, and intelligence--and","? Unless he shows a hitherto-unseen competence, 14 his chances are slim. # Outside powers can help by cooperating with Sisi on immediate concerns--arms, counterterrorism, and intelligence--and",badf515d40dc605cd726094c7236208f
71,outside,power,2013,MAG,USAToday,"Nations of the world ratified the Genocide Convention in response to the widespread belief that outside powers had stood by during the mass murder of Armenians during World War I,","Nations of the world ratified the Genocide Convention in response to the widespread belief that outside powers had stood by during the mass murder of Armenians during World War I,",8c20503040b320822307820d8504f5a8
72,outside,power,2013,ACAD,PolSciQuarterly,"the member states of the containment regime, and also the close support of an outside power like the United States. # As we have shown, however, the","the member states of the containment regime, and also the close support of an outside power like the United States. # As we have shown, however, the",2e28cc10dd6133469fde1340a1b47a64
73,outside,power,2012,NEWS,CSMonitor,"in Iraq, and Libya, to name a few. In each case, outside powers intervened at some point to stop the killing. The results - while imperfect","in Iraq, and Libya, to name a few. In each case, outside powers intervened at some point to stop the killing. The results - while imperfect",3c7693e97077b8b5cc8895e1bed4c03e
74,outside,power,2012,NEWS,CSMonitor,in Syria have merit. It is difficult. The Syrian military is strong. Outside powers such as Iran and Russia are engaged. The local politics are complicated.,in Syria have merit. It is difficult. The Syrian military is strong. Outside powers such as Iran and Russia are engaged. The local politics are complicated.,8414d3d1544870318a897a2844db3c48
75,outside,power,2012,NEWS,CSMonitor,"an "" imposed non-military solution. "" This would be a political transition driven by outside powers with broad international support. # Such a nonmilitary plan is in keeping with","an "" imposed non-military solution. "" This would be a political transition driven by outside powers with broad international support. # Such a nonmilitary plan is in keeping with",b9d8fc4a16d5145f17013167d82eec53
76,outside,power,2012,ACAD,ForeignAffairs,"a diplomatic solution. Both sides, however, share the underlying assumption that unless outside powers intervene in a dramatic fashion, it is inevitable that Iran will achieve its","a diplomatic solution. Both sides, however, share the underlying assumption that unless outside powers intervene in a dramatic fashion, it is inevitable that Iran will achieve its",08f3db214ca497e53d2e58c23e028513
77,outside,power,2012,WEB,newdeal.feri.org,of the various groups in that country and based on a hands-off policy of the outside powers. # We are still arming to the hilt. Our excessive expenses for,of the various groups in that country and based on a hands-off policy of the outside powers. # We are still arming to the hilt. Our excessive expenses for,fb2e9c4e6eb624e57b3bfa8f2d113af5
78,outside,power,2012,WEB,theatlantic.com,"that will be more potent and more lasting than any our Federal Congress or any outside power can confer. # The London Times, in a recent edition discussing affairs","that will be more potent and more lasting than any our Federal Congress or any outside power can confer. # The London Times, in a recent edition discussing affairs",d0a3f34d15a01eddb4e21c77af6b4994
79,outside,power,2012,WEB,topics.nytimes.com,", during an interview with the Russia Today television news channel, Mr. Assad warned outside powers not to intervene militarily, saying the price of an invasion would be """,", during an interview with the Russia Today television news channel, Mr. Assad warned outside powers not to intervene militarily, saying the price of an invasion would be """,8b8bf600d85b69b79e102676c55bf7e4
80,outside,power,2012,WEB,jfklibrary.org,security arrangements--and the nations of this hemisphere decided long ago against the military presence of outside powers. Our other allies around the world have also been alerted. # Sixth,security arrangements--and the nations of this hemisphere decided long ago against the military presence of outside powers. Our other allies around the world have also been alerted. # Sixth,33ccf200718afee576ae815da262bd29
81,outside,power,2012,WEB,malcolm-x.org,"come in. Now, what African head of state would have dared to invite outside powers? So they put Tshombe there, and as soon as Tshombe got there","come in. Now, what African head of state would have dared to invite outside powers? So they put Tshombe there, and as soon as Tshombe got there",921760108d0c98dcbbb5084dade0ef32
82,outside,power,2012,WEB,metafilter.com,"what happened in Rwanda? That shitstorm had a long history, was orchestrated by outside powers, and I don't have much trouble believing that there were atrocities on","what happened in Rwanda? That shitstorm had a long history, was orchestrated by outside powers, and I don't have much trouble believing that there were atrocities on",8ec61ce3dac0b009b104c30293e17cc5
83,outside,power,2012,WEB,englishhistory.net,"threat to Mary's reign finally came, it was not from one of these outside powers; indeed, it came from within her own nation. # As queen","threat to Mary's reign finally came, it was not from one of these outside powers; indeed, it came from within her own nation. # As queen",b2248185a67dfb17b709180ce027b94f
84,outside,power,2012,WEB,puritansermons.com,"of his resurrection? It may be replied, that it was not any other outside power, but he himself was the author of his own rising from the dead","of his resurrection? It may be replied, that it was not any other outside power, but he himself was the author of his own rising from the dead",c33ffaa86d43a9b55ee692710be6da71
85,outside,power,2012,WEB,...atreallyhappened.com,"Gen. Mustafa al-Sheikh, the leader of the Free Syrian Army, warned that if outside powers don't quickly back the rebel fighters trying to overthrow the regime of President","Gen. Mustafa al-Sheikh, the leader of the Free Syrian Army, warned that if outside powers don't quickly back the rebel fighters trying to overthrow the regime of President",28e5ab7d32fe7722d434b723e65d4ea8
86,outside,power,2012,WEB,gotterdammerung.org,"chance of independent survival and, curiously, their very existence needed the intervention of outside powers, the first of which resulted in the Treaty of Augsburg (1555)","chance of independent survival and, curiously, their very existence needed the intervention of outside powers, the first of which resulted in the Treaty of Augsburg (1555)",ebb0e06a91bd82ff72cc4cd21d40fd9e
87,outside,power,2012,WEB,reuters.com,"been killed, and have raised the prospect of Syria becoming a proxy battlefield for outside powers. # Assad's former prime minister, Riyad Habib, a Sunni who","been killed, and have raised the prospect of Syria becoming a proxy battlefield for outside powers. # Assad's former prime minister, Riyad Habib, a Sunni who",9dfd77661d8c4abc468fcea907e15e87
88,outside,power,2012,WEB,huffingtonpost.com,"consumer advocacy' approach, with a focus on wrestling services and resources from the outside powers that be. Few are thinking of harnessing the internal productive capacities... that","consumer advocacy' approach, with a focus on wrestling services and resources from the outside powers that be. Few are thinking of harnessing the internal productive capacities... that",776a289ddc19bc3177f64e0b1dc3d91e
89,outside,power,2012,WEB,thomhartmann.com,in various other products do not have an internal power source but reacts when an outside power source activates it and it has an antennae that picks up the external power,in various other products do not have an internal power source but reacts when an outside power source activates it and it has an antennae that picks up the external power,f0acc88d6f86956aadccf16ccc14c851
90,outside,power,2012,WEB,history.navy.mil,"what Perry had done for her, did the Hermit Kingdom accept relations with an outside power. Only with the Shufeldt treaty did she accept them with a non-Asiatic people","what Perry had done for her, did the Hermit Kingdom accept relations with an outside power. Only with the Shufeldt treaty did she accept them with a non-Asiatic people",1659e23111ba0877a9b9dbbc47f42dd4
