name,hasBoundRole2,type,label,hasBoundRole1
Binding_999,['Role_Frame_Government_decision_making_consideration'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Voting.debate=Government decision making.consideration'],['Role_Frame_Voting_debate']
Binding_33,['Role_Frame_Reasoning_conclusion'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Analysis.analytic_conclusion=Reasoning.conclusion'],['Role_Frame_Analysis_analytic_conclusion']
Binding_651,['Role_Frame_Self_propelled_motion_landmark'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Motion with respect to an undesirable entity.undesirable_entity=Self propelled motion.landmark'],['Role_Frame_Motion_with_respect_to_an_undesirable_entity_undesirable_entity']
Binding_311,['Role_Frame_Destructive_natural_process_destructive_effect'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Erosion.eroding_effect=Destructive natural process.destructive_effect'],['Role_Frame_Erosion_eroding_effect']
Binding_405,['Role_Frame_Purposeful_action_action_x_schema'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Governing action.governing_action_x-schema=Purposeful action.action_x-schema'],['Role_Frame_Governing_action_governing_action_x_schema']
Binding_774,['Role_Frame_Action_action_x_schema'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Purposeful action.objective=Action.action_x-schema.finish_conditions'],['Role_Frame_Purposeful_action_objective']
Binding_169,['Role_Frame_Object_object_entity'],"['Binding', 'NamedIndividual', 'Binding']",['Frame:Complex physical object.object_whole=Object.object_entity'],['Role_Frame_Complex_physical_object_object_whole']
Binding_58,['Role_Frame_Control_controlling_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Authority.authority_entity=Control.controlling_entity'],['Role_Frame_Authority_authority_entity']
Binding_118,['Role_Frame_Physical_structure_structure_whole'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Building.structure_whole=Physical structure.structure_whole'],['Role_Frame_Building_structure_whole']
Binding_175,['Role_Frame_Part_whole_parts'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Complex structure.structure_parts=Part whole.parts'],['Role_Frame_Complex_structure_structure_parts']
Binding_730,['Role_Frame_Competition_competition_x_schema'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Political competition.political_activity_x-schema=Competition.competition_x-schema'],['Role_Frame_Political_competition_political_activity_x_schema']
Binding_357,['Role_Frame_Physical_entity_physical_entity_whole'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Food.food=Physical entity.physical_entity_whole'],['Role_Frame_Food_food']
Binding_68,['Role_Frame_Awake_animate_entity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Awakening.sleeping_entity=Awake.animate_entity'],['Role_Frame_Awakening_sleeping_entity']
Binding_93,['Role_Frame_Life_cycle_life_liver'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Biological entity.organism=Life cycle.life_liver'],['Role_Frame_Biological_entity_organism']
Binding_117,['Role_Frame_Physical_structure_structural_integrity'],"['NamedIndividual', 'Binding', 'Binding']",['Frame:Building.building_integrity=Physical structure.structural_integrity'],['Role_Frame_Building_building_integrity']
