source,target,index,year,genre,source,,,,text,,,,,,,,,,,,,,,,,target,count
burn,fury,1,2017,FIC,Bk:LightsCameraMurder!,,,,".' I swear, I'm gon na kill him!' Her eyes burned with fury.' Tell him to get it fixed right away!' She",,,,,,,,,,,,,,,,,,
burn,fury,5,2009,FIC,FantasySciFi,,,,a voice that had fastened to him like a disease of the throat. He burned with fury - not against the Maestro or myself - but against the unjust circumstances,,,,,,,,,,,,,,,,,,
burn,fury,6,1992,FIC,Bk:Prophet,,,,"and if I'm good he'll let it go. "" Then his eyes burned with fury. It was frightening to see. "" But that place is still",,,,,,,,,,,,,,,,,,
burn,hate,4,2004,FIC,FantasySciFi,,,,"with the drum made heavy walking of it. The cimanones, thirty dark men burning with hate for their former masters, seemed untouched by heat or rain. He",,,,,,,,,,,,,,,,,,
burn,hate,5,1999,FIC,Bk:PointOrigin,,,,""" His voice had more bite, his words more clipped. Benton's eyes burned with hate as he finally lifted them to me. "" Carrie Grethen is mocking",,,,,,,,,,,,,,,,,,
burn,hate,6,1990,FIC,Mov:WildHeart,,,,formally dressed onlookers stand aghast. Sailor stares up at Marietta. Both their eyes burning with hate. CUT TO: 139. INT. IGUANA MOTEL - SAILOR AND,,,,,,,,,,,,,,,,,,
burn,excitement,1,2019,FIC,NewYorker,,,,". # They're coming up on the part where Natalie Wood, her eyes burning with excitement, waves her arms and everybody stands back and the two cars hurtle",,,,,,,,,,,,,,,,,,
burn,excitement,2,2014,FIC,HudsonRev,,,,"her in our prayers. "" You try to look sad, but your stomach burns with excitement. So he got your letter after all, agreed to the plan",,,,,,,,,,,,,,,,,,
burn,excitement,3,2009,FIC,FantasySciFi,,,,"Mouse ignored his stubbornness. "" Jenna said to fetch you. "" His eyes burned with excitement. "" She's waiting up there with him. Freddie, listen",,,,,,,,,,,,,,,,,,
burn,excitement,5,1990,FIC,Bk:ThoseWhoHunt,,,,"was the only person in the whole theatre who was not startled. His eyes burned with excitement as she played her tiny role just as he had scripted it,",,,,,,,,,,,,,,,,,,
burn,impatience,2,2007,FIC,FantasySciFi,,,,", "" the man said. He was a big man, and his eyes burned with impatience. "" Who are you? "" Edward asked. "" You know",,,,,,,,,,,,,,,,,,
